meter,age
279.7312385,2800
286.7778706,2580
290.2858098,2470
296.0949357,2270
301.1532676,2170
310.3727227,1900
319.5032592,1650
330.035768,1350
344.4218619,900
349.5035935,750
355.6356343,550
359.3748955,350
361.9669062,250
365.3859268,120
367.1502591,60
369.3324419,-20
376.1771686,-370
381.6881163,-500
