meter,age
1.883778471,2580
2.442178287,2270
2.772389872,2170
3.184923112,1900
3.528639149,1650
4.016371835,1350
4.532408371,900
5.895063013,750
7.155786796,550
7.757937334,350
8.19174471,250
8.665232975,120
9.726442363,60
10.73122904,-370
10.96080472,-500
