meter,age
1.33187782,2800
5.500814809,2580
7.855987799,2470
10.17313639,2270
11.98865536,2170
16.33659953,1900
19.14894284,1650
21.5061633,1350
26.40429133,900
29.16661792,750
31.02776617,550
32.38699231,350
34.56198813,250
