32.22,4.10 
31.87,4.71 
31.62,3.52 
31.52,3.36 
31.21,3.00 
30.93,1.82 
30.79,1.73 
30.67,1.93 
30.52,1.58 
30.4,2.16 
30.32,2.77 
30.27,2.80 
30.1,2.88 
29.93,1.83 
29.88,1.75 
29.72,1.35 
29.64,1.38 
29.47,1.65 
29.24,0.67 
29.05,0.98 
28.93,1.05 
28.87,0.52 
28.73,0.81 
28.56,1.25 
28.42,1.13 
28.26,3.32 
28.11,4.47 
27.98,5.63 
27.86,5.22 
27.61,3.51 
27.47,4.27 
27.36,4.56 
27.23,6.45 
27.13,3.11 
27.01,4.63 
26.88,4.30 
26.74,5.03 
26.58,5.48 
26.49,4.99 
26.34,5.73 
26.22,6.04 
26.01,6.70 
25.94,3.34 
25.78,5.96 
25.61,6.51 
25.4,5.95 
25.23,6.39 
25.01,5.88 
24.77,7.41 
24.56,6.19 
24.44,7.04 
24.2,6.19 
24.04,4.94 
23.81,6.59 
23.62,4.63 
23.43,5.03 
23.26,6.56 
23.09,5.60 
22.91,5.94 
22.7,5.18 
22.55,6.87 
22.38,5.85 
22.21,6.56 
22.02,4.21 
21.86,6.30 
21.65,6.99 
21.49,3.86 
21.33,5.47 
21.1,6.32 
20.87,6.39 
20.58,4.98 
20.47,7.27 
20.27,7.16 
20.08,5.87 
19.81,6.38 
19.66,6.34 
19.5,8.09 
19.38,4.99 
19.18,6.66 
19.03,5.13 
18.86,4.49 
18.61,4.62 
18.44,4.93 
18.24,3.60 
18.07,5.71 
17.87,5.49 
17.71,5.47 
17.57,8.75 
17.36,6.55 
17.2,4.99 
17.06,8.13 
16.96,5.31 
16.73,5.34 
16.5,3.36 
16.29,4.76 
16.15,5.25 
15.93,3.68 
15.8,8.65 
15.6,8.57 
15.4,6.60 
15.2,5.39 
15,5.67 
14.8,6.31 
14.6,5.15 
14.4,5.90 
14.2,5.19 
